🧘‍♂️ Top 2557 all days (stability 2-9, sorted by fire desc):

194. 1990-01-01T13:10 | meditate=false | fire=5 | peace=2.5 | stability=9 | growth=9.10 | avgFirePeace=3.75
195. 1990-01-31T13:10 | meditate=false | fire=5 | peace=3 | stability=8 | growth=7.80 | avgFirePeace=4.00
196. 1990-03-09T13:10 | meditate=false | fire=5 | peace=5 | stability=9 | growth=6.00 | avgFirePeace=5.00
197. 1990-03-16T13:10 | meditate=true | fire=5 | peace=1 | stability=5 | growth=8.00 | avgFirePeace=3.00
198. 1990-03-17T13:10 | meditate=true | fire=5 | peace=0.5 | stability=6 | growth=8.40 | avgFirePeace=2.75
199. 1990-03-25T13:10 | meditate=true | fire=5 | peace=2.5 | stability=8 | growth=7.20 | avgFirePeace=3.75
200. 1990-06-06T13:10 | meditate=false | fire=5 | peace=6 | stability=7 | growth=5.60 | avgFirePeace=5.50
201. 1990-06-15T13:10 | meditate=true | fire=5 | peace=4.5 | stability=6 | growth=7.70 | avgFirePeace=4.75
202. 1990-07-24T13:10 | meditate=false | fire=5 | peace=4 | stability=9 | growth=8.40 | avgFirePeace=4.50
203. 1990-08-30T13:10 | meditate=false | fire=5 | peace=0.5 | stability=8 | growth=9.60 | avgFirePeace=2.75
204. 1990-09-20T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.70 | avgFirePeace=4.25
205. 1990-09-21T13:10 | meditate=false | fire=5 | peace=1 | stability=8 | growth=9.00 | avgFirePeace=3.00
206. 1990-10-02T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.70 | avgFirePeace=4.25
207. 1990-12-16T13:10 | meditate=true | fire=5 | peace=3 | stability=7 | growth=7.80 | avgFirePeace=4.00
208. 1990-12-25T13:10 | meditate=false | fire=5 | peace=-2 | stability=8 | growth=9.00 | avgFirePeace=1.50
209. 1990-12-26T13:10 | meditate=false | fire=5 | peace=-1 | stability=8 | growth=10.20 | avgFirePeace=2.00
210. 1991-06-07T13:10 | meditate=false | fire=5 | peace=0.5 | stability=7 | growth=9.60 | avgFirePeace=2.75
211. 1991-08-01T13:10 | meditate=false | fire=5 | peace=4.5 | stability=8 | growth=7.20 | avgFirePeace=4.75
212. 1991-09-12T13:10 | meditate=false | fire=5 | peace=7 | stability=9 | growth=5.40 | avgFirePeace=6.00
213. 1991-09-25T13:10 | meditate=false | fire=5 | peace=1.5 | stability=9 | growth=9.10 | avgFirePeace=3.25
214. 1991-10-27T13:10 | meditate=false | fire=5 | peace=2 | stability=9 | growth=7.80 | avgFirePeace=3.50
215. 1991-10-28T13:10 | meditate=false | fire=5 | peace=2 | stability=9 | growth=7.80 | avgFirePeace=3.50
216. 1991-11-04T13:10 | meditate=false | fire=5 | peace=2 | stability=8 | growth=9.00 | avgFirePeace=3.50
217. 1991-11-05T13:10 | meditate=false | fire=5 | peace=0 | stability=8 | growth=10.20 | avgFirePeace=2.50
218. 1991-11-06T13:10 | meditate=false | fire=5 | peace=1 | stability=8 | growth=9.00 | avgFirePeace=3.00
219. 1991-11-12T13:10 | meditate=false | fire=5 | peace=4 | stability=9 | growth=7.20 | avgFirePeace=4.50
220. 1991-11-14T13:10 | meditate=false | fire=5 | peace=4.5 | stability=8 | growth=6.00 | avgFirePeace=4.75
221. 1991-12-04T13:10 | meditate=false | fire=5 | peace=3.5 | stability=9 | growth=6.50 | avgFirePeace=4.25
222. 1991-12-19T13:10 | meditate=false | fire=5 | peace=2 | stability=7 | growth=8.00 | avgFirePeace=3.50
223. 1991-12-29T13:10 | meditate=true | fire=5 | peace=4 | stability=8 | growth=7.80 | avgFirePeace=4.50
224. 1991-12-30T13:10 | meditate=false | fire=5 | peace=4.5 | stability=9 | growth=7.20 | avgFirePeace=4.75
225. 1992-01-02T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.70 | avgFirePeace=4.25
